,Timestamp,Occurs
0,2015-12,0.0036101083032490976
1,2015-01,0.003236245954692557
2,2015-05,0.007782101167315175
3,2015-02,0.0031545741324921135
4,2016-03,0.010763209393346379
5,2016-09,0.0317208564631245
6,2016-06,0.02244165170556553
7,2016-08,0.025906735751295335
8,2016-02,0.004780114722753346
9,2016-01,0.006756756756756757
10,2016-10,0.017592592592592594
11,2016-12,0.028151774785801713
12,2016-04,0.009623797025371828
13,2016-11,0.023529411764705882
14,2016-05,0.018973998594518624
15,2016-07,0.02875629043853343
16,2014-04,0.0034965034965034965
17,2014-06,0.004464285714285714
18,2014-03,0.003236245954692557
19,2014-12,0.007874015748031496
20,2014-02,0.0035971223021582736
21,2014-08,0.008097165991902834
22,2018-04,0.008130081300813009
23,2018-01,0.005434782608695652
24,2012-10,0.01282051282051282
25,2012-04,0.011235955056179775
26,2012-11,0.008849557522123894
27,2012-02,0.024390243902439025
28,2017-04,0.02631578947368421
29,2017-02,0.021447721179624665
30,2017-05,0.03554868624420402
31,2017-01,0.013742071881606765
32,2017-03,0.03483870967741935
33,2017-06,0.022950819672131147
34,2017-09,0.006329113924050633
35,2017-12,0.007352941176470588
36,2020-01,0.019230769230769232
37,2020-10,0.034482758620689655
38,2020-09,0.043478260869565216
39,2011-07,0.011494252873563218
40,2013-11,0.004366812227074236
41,2013-10,0.005154639175257732
42,2013-12,0.004132231404958678
43,2013-05,0.005050505050505051
44,2013-07,0.0038022813688212928
45,2019-01,0.010101010101010102
46,2019-10,0.015384615384615385
47,2022-03,0.04040404040404041
