,Timestamp,Occurs
0,2015-09,0.003937007874015748
1,2015-12,0.0012033694344163659
2,2015-01,0.006472491909385114
3,2015-06,0.004694835680751174
4,2015-05,0.0038910505836575876
5,2015-10,0.003787878787878788
6,2015-02,0.0031545741324921135
7,2015-04,0.004016064257028112
8,2015-07,0.008583690987124463
9,2015-03,0.00303951367781155
10,2010-06,0.05
11,2016-03,0.003913894324853229
12,2016-09,0.003965107057890563
13,2016-08,0.0017271157167530224
14,2016-02,0.0009560229445506692
15,2016-01,0.0016891891891891893
16,2016-12,0.0012239902080783353
17,2016-04,0.0017497812773403325
18,2016-11,0.0053475935828877
19,2016-05,0.0007027406886858749
20,2014-04,0.0034965034965034965
21,2014-06,0.004464285714285714
22,2014-03,0.006472491909385114
23,2014-12,0.003937007874015748
24,2014-02,0.014388489208633094
25,2014-09,0.0037735849056603774
26,2014-05,0.007633587786259542
27,2014-08,0.004048582995951417
28,2018-09,0.011764705882352941
29,2018-08,0.011235955056179775
30,2018-04,0.008130081300813009
31,2018-05,0.009174311926605505
32,2012-04,0.011235955056179775
33,2012-11,0.02654867256637168
34,2012-07,0.019801980198019802
35,2012-09,0.028169014084507043
36,2017-04,0.0029239766081871343
37,2017-02,0.004021447721179625
38,2017-05,0.0015455950540958269
39,2017-01,0.005285412262156448
40,2017-03,0.0064516129032258064
41,2017-06,0.003278688524590164
42,2017-11,0.005263157894736842
43,2017-07,0.005917159763313609
44,2017-12,0.007352941176470588
45,2020-11,0.030303030303030304
46,2011-01,0.017543859649122806
47,2011-05,0.01020408163265306
48,2011-02,0.019230769230769232
49,2011-12,0.0273972602739726
50,2011-09,0.014285714285714285
51,2011-11,0.017699115044247787
52,2013-11,0.004366812227074236
53,2013-03,0.006097560975609756
54,2013-06,0.0040650406504065045
55,2013-10,0.005154639175257732
56,2013-02,0.017391304347826087
57,2013-12,0.01652892561983471
58,2013-05,0.005050505050505051
59,2013-07,0.0038022813688212928
60,2022-06,0.01639344262295082
61,2022-10,0.04878048780487805
